,Seqname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
16,lcl_Gmax_Glyma.06G202800.1,228.0,0.439306,1.0,9801.0,0.051254284253985975,0.022915843417474255,0.038473680572954284,1.3290829783999196e-10,0.0718673134767606,0.1209248836958778,0.022915843417474255,0.051254284253985975,1.3290829783999196e-10,0.08811303117901424,0.0718673134767606,0.038473680572954284,0.06223134864688631,1.3290829783999196e-10,0.022915843417474255,0.11207442048762897,0.11207442048762897,0.051254284253985975,0.038473680572954284,0.022915843417474255,0.070186,0.070653,0.993396,-14.940215,-14.761488,1.012108,0.0
17,lcl_Gmax_Glyma.01G175700.1,297.0,0.087611,1.0,0.0,0.04589310151694702,0.03751547441438772,0.0164457550320084,0.0164457550320084,0.04589310151694702,0.06626198194876219,0.027919030406787317,0.06626198194876219,0.04589310151694702,0.08629256208599487,0.04589310151694702,0.03751547441438772,0.04589310151694702,0.06011350989171781,0.07189628445598391,0.07189628445598391,0.027919030406787317,0.06626198194876219,0.04589310151694702,0.07189628445598391,0.061317,0.063158,0.970853,-10.632311,-10.253258,1.036969,0.0
18,CNT2088549,165.0,0.259027,1.0,0.0,0.026550726963126506,0.04387426156104813,0.026550726963126506,0.057715050071859404,0.07919144189335908,1.6448503957393423e-10,0.026550726963126506,0.057715050071859404,0.07919144189335908,0.08774852310443314,0.057715050071859404,0.057715050071859404,0.04387426156104813,0.04387426156104813,0.06929413842080838,0.08774852310443314,0.04387426156104813,0.057715050071859404,0.026550726963126506,0.026550726963126506,0.082843,0.08463,0.978889,-21.772347,-21.200358,1.02698,0.0
19,lcl_Athaliana_AT4G08120.1,351.0,0.158037,1.0,0.0,0.06943205818185662,0.024507441685865296,0.05362978386331561,0.033090289986645406,0.024507441685865296,0.047442562550025554,0.05362978386331561,0.05931167891567415,0.05931167891567415,0.08215797551887669,0.047442562550025554,0.06456097711191358,0.06943205818185662,0.014345520199620916,0.05362978386331561,0.06456097711191358,0.047442562550025554,0.07396713159170339,0.033090289986645406,0.024507441685865296,0.055637,0.057422,0.968906,-8.694393,-8.307577,1.046562,0.0
20,lcl_Mtruncatula_Medtr5g067270.1,339.0,1.0,1.0,10404.0,0.07285996440849457,0.015150613009212846,0.06778992620072824,0.06231747408954481,0.015150613009212846,0.07285996440849457,0.02584997785570038,0.06231747408954481,0.04991436965949576,0.08196340574283476,0.04991436965949576,0.03486924690492353,0.05638474935352935,0.04991436965949576,0.05638474935352935,0.07285996440849457,0.05638474935352935,0.08196340574283476,0.015150613009212846,8.169088126634839e-11,0.057151,0.057703,0.990447,-8.691034,-8.791588,0.988562,0.0
21,lcl_Mtruncatula_Medtr1g054150.1,336.0,0.12528,1.0,0.0,0.04911409560396366,0.025452277071335804,0.025452277071335804,0.04211944873023522,0.025452277071335804,0.04911409560396366,0.04211944873023522,0.04911409560396366,0.04211944873023522,0.08458615829760797,0.034324197682728534,0.06666868664954784,0.08833794636099372,0.05547073725396418,0.04911409560396366,0.08458615829760797,0.04911409560396366,0.061296813620054715,0.034324197682728534,0.04211944873023522,0.055571,0.056672,0.980575,-8.883074,-8.680584,1.023327,0.0
22,lcl_Gmax_Glyma.05G095800.1,111.0,0.261176,1.0,0.0,0.0665566380802424,0.04125887482709317,0.04125887482709317,0.04125887482709317,0.1319823559742836,0.04125887482709317,2.798563665674181e-10,2.798563665674181e-10,0.04125887482709317,0.12377662442034851,0.04125887482709317,0.04125887482709317,2.798563665674181e-10,0.04125887482709317,0.04125887482709317,0.1319823559742836,0.0665566380802424,2.798563665674181e-10,0.0665566380802424,0.04125887482709317,0.109287,0.110175,0.991948,-34.601155,-34.372615,1.006649,0.0
23,lcl_Gmax_Glyma.17G142500.4,294.0,0.236334,1.0,0.0,0.10822324269400305,0.06398355544043464,1.091740602449075e-10,0.019742281211747304,0.019742281211747304,0.033501973947472494,0.019742281211747304,0.07205938672515652,0.033501973947472494,0.0980541685813765,0.045003576055822836,0.019742281211747304,0.05503877096431013,0.05503877096431013,0.10333513697118951,0.14772895786131124,0.07205938672515652,0.033501973947472494,1.091740602449075e-10,1.091740602449075e-10,0.062237,0.061645,1.009598,-10.549053,-10.807349,0.9761,0.0
24,NONATHT001245,294.0,0.236334,1.0,0.0,0.10822324269400305,0.06398355544043464,1.091740602449075e-10,0.019742281211747304,0.019742281211747304,0.033501973947472494,0.019742281211747304,0.07205938672515652,0.033501973947472494,0.0980541685813765,0.045003576055822836,0.019742281211747304,0.05503877096431013,0.05503877096431013,0.10333513697118951,0.14772895786131124,0.07205938672515652,0.033501973947472494,1.091740602449075e-10,1.091740602449075e-10,0.062237,0.061645,1.009598,-10.549053,-10.807349,0.9761,0.0
25,lcl_Athaliana_AT4G08035.2,174.0,0.102473,1.0,0.0,1.6908424551895568e-10,0.06030669493463596,1.6908424551895568e-10,0.027602661747735985,0.07255269086987523,0.06030669493463596,1.6908424551895568e-10,0.10724742567442945,0.04574083445764481,0.11341621399129558,0.07255269086987523,0.04574083445764481,0.027602661747735985,0.04574083445764481,0.07255269086987523,0.09221992281430631,1.6908424551895568e-10,0.08307365129094692,0.027602661747735985,0.04574083445764481,0.078066,0.079915,0.976861,-20.164942,-19.551285,1.031387,0.0
26,lcl_Mtruncatula_Medtr4g013735.1,234.0,1.0,-1.0,1089.0,0.0598822782054188,0.049261368804570105,1.2640037587661322e-10,1.2640037587661322e-10,0.07756241398914007,0.021957344100831538,0.06922975021448213,0.021957344100831538,0.0598822782054188,0.09795211600975406,0.021957344100831538,0.10859430686440809,0.1132041807566472,0.03692791364621018,0.0598822782054188,0.09795211600975406,0.0598822782054188,1.2640037587661322e-10,0.021957344100831538,0.021957344100831538,0.087525,0.088232,0.991986,-14.76704,-14.714487,1.003572,0.0
27,lcl_Gmax_Glyma.11G006500.1,330.0,1.0,1.0,44100.0,0.07080462619973543,0.05487680402421784,0.05487680402421784,0.05487680402421784,0.041700349278228764,0.05487680402421784,0.041700349278228764,0.07534843385157317,0.07080462619973543,0.07080462619973543,0.03399755741507366,0.041700349278228764,0.03399755741507366,0.041700349278228764,0.041700349278228764,0.0659096174862472,0.041700349278228764,0.041700349278228764,0.025222944910124463,0.041700349278228764,0.056066,0.057404,0.976696,-9.188938,-8.853555,1.037881,0.0
28,lcl_Gmax_Glyma.18G290700.3,189.0,0.077301,1.0,0.0,0.05263142886672604,0.02390791867092592,0.05263142886672604,0.03978522583006142,0.03978522583006142,0.08117102324870565,0.03978522583006142,0.02390791867092592,0.08117102324870565,0.07292333718042873,0.02390791867092592,0.05263142886672604,0.07292333718042873,0.03978522583006142,0.02390791867092592,0.07292333718042873,0.06350922866268764,0.09489601135263528,0.02390791867092592,0.02390791867092592,0.073989,0.07513,0.984805,-18.572508,-18.264381,1.01687,0.0
29,CNT2085592,30.0,0.09375,-1.0,0.0,1.2552443503791796e-09,1.2552443503791796e-09,1.2552443503791796e-09,1.2552443503791796e-09,0.12552443520705406,1.2552443503791796e-09,1.2552443503791796e-09,1.2552443503791796e-09,1.2552443503791796e-09,0.19690217760505355,0.12552443520705406,1.2552443503791796e-09,0.12552443520705406,1.2552443503791796e-09,1.2552443503791796e-09,0.17547563004149958,0.12552443520705406,1.2552443503791796e-09,1.2552443503791796e-09,0.12552443520705406,0.199193,0.2002,0.99497,-157.975784,-157.162756,1.005173,0.0
30,CNT2086538,138.0,0.613333,1.0,0.0,2.2529662655839377e-10,2.2529662655839377e-10,2.2529662655839377e-10,2.2529662655839377e-10,0.10090271741050982,2.2529662655839377e-10,0.034962524418567884,0.08892007629565449,0.05719254348285389,0.13303782825832006,0.034962524418567884,0.05719254348285389,0.05719254348285389,0.07461675798032634,0.07461675798032634,0.11963135555563775,0.05719254348285389,0.07461675798032634,2.2529662655839377e-10,0.034962524418567884,0.08972,0.091349,0.982165,-26.561842,-26.106168,1.017455,0.0
31,lcl_Mtruncatula_Medtr6g038630.1,342.0,0.686747,1.0,56169.0,0.04657214366694268,0.028117027704826818,0.06138043142417428,0.08929592151048434,0.08449947773732391,0.12315336542708792,0.016473991792546182,8.869038783644698e-11,0.06138043142417428,0.06138043142417428,0.016473991792546182,0.06138043142417428,0.06138043142417428,8.869038783644698e-11,0.028117027704826818,0.09377512765002255,0.016473991792546182,0.10555475642522118,0.016473991792546182,0.028117027704826818,0.058154,0.058981,0.985983,-8.753101,-8.670636,1.009511,0.0
32,lcl_Mtruncatula_Medtr7g090430.1,216.0,1.0,1.0,5625.0,0.0696438953417206,0.04983141265001409,1.3116923455524331e-10,0.02237787848755074,0.06040088149110331,0.07782985098470047,0.037478098854225116,0.04983141265001409,0.02237787848755074,0.08513675679049014,0.04983141265001409,0.037478098854225116,0.10768558020286202,0.02237787848755074,0.04983141265001409,0.10289950017057639,0.04983141265001409,0.06040088149110331,0.02237787848755074,0.02237787848755074,0.07286,0.07343,0.992231,-15.925755,-15.747532,1.011318,0.0
33,lcl_Gmax_Glyma.07G017200.2,213.0,0.257246,1.0,0.0,0.048732731762847745,0.02190989127713735,0.0366705315698984,0.0366705315698984,0.048732731762847745,0.048732731762847745,0.0366705315698984,0.07601771061888708,0.048732731762847745,0.07601771061888708,0.0366705315698984,0.08312254173909255,0.06804933963331143,0.0366705315698984,0.0366705315698984,0.05904256119494627,0.08948811852051886,0.08948811852051886,1.2878173061731987e-10,0.02190989127713735,0.074934,0.075914,0.987091,-15.978352,-15.721253,1.016354,0.0
34,lcl_Gmax_Glyma.01G015700.1,345.0,0.123391,1.0,0.0,0.05606930834609301,0.01503146401541709,0.05606930834609301,0.05606930834609301,0.049617630007945224,0.08163283789619583,0.049617630007945224,0.061989553468036813,0.049617630007945224,0.08574018678634791,0.049617630007945224,0.049617630007945224,0.04252690275671739,0.01503146401541709,0.049617630007945224,0.10544714282434768,0.03463426165269872,0.061989553468036813,0.01503146401541709,0.01503146401541709,0.055541,0.056264,0.987156,-8.51615,-8.366574,1.017878,0.0
35,lcl_Athaliana_AT1G10865.1,216.0,0.401487,1.0,0.0,0.049302572735074865,0.08423323604273404,0.037080359485498905,0.08423323604273404,0.022140391434173512,0.08423323604273404,1.2977719039763465e-10,0.05975987222944835,0.09071805099634442,0.05975987222944835,0.037080359485498905,0.037080359485498905,0.037080359485498905,0.022140391434173512,0.08423323604273404,0.07700387536840475,0.037080359485498905,0.05975987222944835,1.2977719039763465e-10,0.037080359485498905,0.068182,0.069415,0.982238,-15.531547,-15.306554,1.014699,0.0
36,lcl_Athaliana_AT1G43320.1,357.0,1.0,1.0,900.0,0.03312333819218036,0.04070446440366563,0.06473580156639212,0.05945432277983539,0.04070446440366563,0.03312333819218036,0.07421031684915898,0.053741830950478,0.02452051401542304,0.0824739710453932,0.07421031684915898,0.06964044794619781,0.05945432277983539,0.02452051401542304,0.03312333819218036,0.07847900463220117,0.04070446440366563,0.07421031684915898,0.014344397918383107,0.02452051401542304,0.087776,0.088642,0.990234,-9.464222,-9.313933,1.016136,0.0
37,lcl_Mtruncatula_Medtr3g035965.1,276.0,1.0,1.0,324.0,0.029152772493030832,0.03908484649680873,0.029152772493030832,0.0553895084269282,0.062290684566402056,0.03908484649680873,0.01722288765710085,0.0553895084269282,0.047719539362417726,0.08431400281835222,0.047719539362417726,0.0553895084269282,0.03908484649680873,0.03908484649680873,0.062290684566402056,0.07426706749359885,0.062290684566402056,0.07426706749359885,0.047719539362417726,0.03908484649680873,0.062513,0.064446,0.970009,-11.628732,-11.245959,1.034037,0.0
38,lcl_Mtruncatula_Medtr0101s0020.2,279.0,0.11067,1.0,0.0,0.07690999671596595,0.030141170874148804,0.040423689793185495,0.0493686700489925,0.05731906564086003,0.05731906564086003,9.937147668092528e-11,0.07097556110954507,0.0493686700489925,0.08735395205785816,0.040423689793185495,0.06447687204594071,0.030141170874148804,9.937147668092528e-11,0.07097556110954507,0.0823511085312865,0.017799003366730574,0.07690999671596595,0.040423689793185495,0.05731906564086003,0.061626,0.063297,0.973606,-11.479151,-11.061183,1.037787,0.0
39,lcl_Gmax_Glyma.01G086500.1,141.0,0.326389,1.0,0.0,0.05127734459903774,0.07988346456363904,0.03130647846674428,0.03130647846674428,0.07988346456363904,0.03130647846674428,0.03130647846674428,0.05127734459903774,0.06696965470422946,0.12005962215312956,0.05127734459903774,0.0907312005149238,0.03130647846674428,2.0075887890266953e-10,0.05127734459903774,0.06696965470422946,2.0075887890266953e-10,0.05127734459903774,0.05127734459903774,0.03130647846674428,0.08548,0.087892,0.972559,-26.01585,-25.271486,1.029455,0.0
40,lcl_Gmax_Glyma.17G251800.2,357.0,0.165661,1.0,0.0,0.0533774141645469,7.613490780153824e-11,0.0533774141645469,0.0642968360096876,0.040428452406517656,0.03289873288510725,0.024354243407428443,0.0642968360096876,0.08191472512987849,0.07370710576254716,0.0533774141645469,0.04720359588188386,0.03289873288510725,0.04720359588188386,0.05905117028514085,0.08191472512987849,0.06916822458196706,0.040428452406517656,0.03289873288510725,0.04720359588188386,0.053394,0.05536,0.96448,-8.442769,-8.032675,1.051053,0.0
41,CNT2084895,78.0,0.310757,1.0,0.0,0.056033027725197984,4.1677615394767134e-10,0.056033027725197984,0.056033027725197984,4.1677615394767134e-10,4.1677615394767134e-10,4.1677615394767134e-10,4.1677615394767134e-10,4.1677615394767134e-10,0.08793394390321795,0.056033027725197984,0.08793394390321795,4.1677615394767134e-10,4.1677615394767134e-10,0.08793394390321795,0.14008256926185567,0.14008256926185567,0.08793394390321795,0.08793394390321795,0.056033027725197984,0.12081,0.120816,0.999951,-51.285936,-51.318501,0.999365,0.0
42,CNT2085765,129.0,0.200622,1.0,0.0,0.03511957799747764,0.05721337308913501,0.03511957799747764,0.07439066783491377,0.07439066783491377,0.07439066783491377,0.07439066783491377,2.298377913572287e-10,2.298377913572287e-10,0.08837518040537876,0.03511957799747764,0.05721337308913501,2.298377913572287e-10,0.05721337308913501,0.10970398702716216,0.11784906098638574,2.298377913572287e-10,0.07439066783491377,0.03511957799747764,2.298377913572287e-10,0.095044,0.095784,0.992283,-28.585225,-28.480736,1.003669,0.0
43,lcl_Mtruncatula_Medtr5g033860.1,300.0,1.0,1.0,324.0,0.0471131307776949,0.0471131307776949,0.05479607105006605,0.0841495511251367,0.038502736885160725,0.07387218877260784,9.293341284593995e-11,0.0471131307776949,0.0792152132922498,0.0841495511251367,0.061739919179516045,0.0471131307776949,0.016866800898625512,0.02864508358847806,0.05479607105006605,0.038502736885160725,0.038502736885160725,0.10051864888196588,0.02864508358847806,0.02864508358847806,0.0632,0.064479,0.980166,-10.689583,-10.383533,1.029475,0.0
44,lcl_Mtruncatula_Medtr8g087480.1,330.0,0.494012,1.0,0.0,0.02540271006004954,0.06637935852208333,0.055267913664189455,0.04199754968708824,0.06637935852208333,0.04895256092539728,0.04895256092539728,0.06637935852208333,0.07130925419973853,0.08014342901283761,0.04895256092539728,0.04199754968708824,0.04199754968708824,0.02540271006004954,0.055267913664189455,0.06105132625456316,0.04199754968708824,0.055267913664189455,0.014903322642310101,0.04199754968708824,0.062905,0.065463,0.960924,-9.64214,-9.158453,1.052813,0.0
45,lcl_Gmax_Glyma.10G293100.1,318.0,0.509615,1.0,0.0,0.06609152222747641,0.045571009888317734,0.016226082620929515,0.06609152222747641,0.045571009888317734,0.016226082620929515,0.016226082620929515,0.05307380044935252,0.07180869921396428,0.06609152222747641,0.027618835088615724,8.847797090728759e-11,0.06609152222747641,0.059874564173950796,0.05307380044935252,0.10791691696121729,0.08198095019872477,0.06609152222747641,0.037187277299768964,0.037187277299768964,0.058423,0.060149,0.971299,-9.837852,-9.527301,1.032596,0.0
46,lcl_Gmax_Glyma.07G094600.1,297.0,1.0,1.0,3600.0,0.02898297696876243,0.017072474666266775,0.05539805172323479,0.0389451250663799,0.04764200922849349,0.04764200922849349,0.017072474666266775,0.0687871129026976,0.04764200922849349,0.0687871129026976,0.04764200922849349,0.0746361290548541,0.0977819817423952,0.017072474666266775,0.0389451250663799,0.1079764793187914,0.04764200922849349,0.062404333077396984,0.02898297696876243,0.0389451250663799,0.060874,0.0623,0.977117,-10.711303,-10.47453,1.022605,0.0
47,CNT2087004,108.0,0.158126,-1.0,0.0,0.0637928895031212,0.0637928895031212,0.039545609856294565,2.6823539746187955e-10,2.6823539746187955e-10,2.6823539746187955e-10,0.11863682951048282,0.0822659100272221,2.6823539746187955e-10,0.0637928895031212,0.0822659100272221,0.10892399256400079,0.0637928895031212,0.0637928895031212,0.0637928895031212,0.0637928895031212,0.039545609856294565,2.6823539746187955e-10,2.6823539746187955e-10,0.0822659100272221,0.115224,0.115777,0.99522,-35.512602,-35.27703,1.006678,0.0
48,CNT2086474,183.0,0.079255,1.0,0.0,0.04245834495225568,0.025555572690461745,0.04245834495225568,0.056095171773610106,0.11183582289185219,0.025555572690461745,0.04245834495225568,0.07754991246529223,0.025555572690461745,0.10657087653218923,0.025555572690461745,0.056095171773610106,0.025555572690461745,0.025555572690461745,0.056095171773610106,0.025555572690461745,0.025555572690461745,0.09386882238197704,0.04245834495225568,0.06761108907514245,0.083464,0.086317,0.966957,-19.460809,-18.660358,1.042896,0.0
