,fprs,tprs,thresholds
177,0.06133333333333333,0.8046666666666666,0.9203529
178,0.06266666666666666,0.8046666666666666,0.92023045
179,0.06266666666666666,0.8073333333333333,0.92
180,0.06266666666666666,0.812,0.9181465
181,0.064,0.812,0.9168044
182,0.064,0.8126666666666666,0.9165103
183,0.06466666666666666,0.8126666666666666,0.9163696
184,0.06466666666666666,0.814,0.9149946
185,0.06533333333333333,0.814,0.9149311
186,0.06533333333333333,0.8146666666666667,0.91491586
187,0.06733333333333333,0.8146666666666667,0.9122577
188,0.06733333333333333,0.8213333333333334,0.9102552
189,0.06733333333333333,0.8253333333333334,0.91
190,0.06733333333333333,0.8273333333333334,0.9083225
191,0.068,0.8273333333333334,0.9080801
192,0.068,0.8326666666666667,0.90641356
193,0.06866666666666667,0.8326666666666667,0.9060428
194,0.06866666666666667,0.834,0.9058568
195,0.06933333333333333,0.834,0.9056822
196,0.06933333333333333,0.8346666666666667,0.90546775
197,0.07,0.8346666666666667,0.90538156
198,0.07,0.8373333333333334,0.90401495
199,0.07133333333333333,0.8373333333333334,0.90334404
200,0.07133333333333333,0.8393333333333334,0.901568
201,0.07266666666666667,0.8393333333333334,0.90149283
202,0.07266666666666667,0.8406666666666667,0.90103614
203,0.07333333333333333,0.8406666666666667,0.90097946
204,0.07333333333333333,0.8413333333333334,0.9004664
205,0.074,0.846,0.9
206,0.074,0.8493333333333334,0.8981977
207,0.07466666666666667,0.8493333333333334,0.8979559
208,0.07466666666666667,0.8506666666666667,0.8967311
209,0.07533333333333334,0.8506666666666667,0.89656615
210,0.07533333333333334,0.8526666666666667,0.8954143
211,0.076,0.8526666666666667,0.89508855
212,0.076,0.8546666666666667,0.8937068
213,0.07666666666666666,0.8546666666666667,0.8935463
214,0.07666666666666666,0.862,0.89090556
215,0.07733333333333334,0.862,0.8906553
216,0.07733333333333334,0.8653333333333333,0.89
217,0.07733333333333334,0.866,0.8892323
218,0.078,0.866,0.88911426
219,0.078,0.8693333333333333,0.8864229
220,0.07933333333333334,0.8693333333333333,0.8856347
221,0.07933333333333334,0.87,0.88431823
222,0.08,0.87,0.88390905
223,0.08,0.8713333333333333,0.8807329
224,0.08066666666666666,0.8713333333333333,0.880192
225,0.08066666666666666,0.8726666666666667,0.88
226,0.08066666666666666,0.8733333333333333,0.87946445
227,0.082,0.8733333333333333,0.8791316
228,0.082,0.8773333333333333,0.8762018
229,0.08266666666666667,0.8773333333333333,0.87595356
230,0.08266666666666667,0.8826666666666667,0.8706735
231,0.08266666666666667,0.888,0.87
232,0.08266666666666667,0.89,0.8668122
233,0.084,0.89,0.86605424
234,0.084,0.892,0.86213917
235,0.086,0.892,0.86061555
236,0.086,0.8926666666666667,0.8606134
237,0.086,0.896,0.86
238,0.08666666666666667,0.896,0.8587267
239,0.08666666666666667,0.8986666666666666,0.8565497
240,0.08733333333333333,0.8986666666666666,0.8553021
241,0.08733333333333333,0.904,0.84765905
242,0.08866666666666667,0.904,0.8473993
243,0.08866666666666667,0.906,0.8466617
244,0.09066666666666667,0.906,0.84527993
245,0.09066666666666667,0.908,0.84282833
246,0.09133333333333334,0.908,0.8412983
247,0.092,0.9106666666666666,0.84
248,0.09266666666666666,0.9106666666666666,0.83894706
249,0.09266666666666666,0.9113333333333333,0.8386822
250,0.09333333333333334,0.9113333333333333,0.8376305
251,0.09333333333333334,0.912,0.8368139
252,0.094,0.912,0.8361686
253,0.094,0.9126666666666666,0.83278835
254,0.096,0.9126666666666666,0.8308533
